filename,title,author,release year,pos score,neg score,neu score,comp score
102.txt,The Tragedy of Pudd'nhead Wilson,Mark Twain (Samuel Clemens),"January, 1994"
103.txt,Around the World in 80 Days,Jules Verne,"May 15, 2008 "
1039.txt,Missionary Travels and Researches in South Africa,David Livingstone,"February 11, 2006 "
1046.txt,God The Invisible King,Herbert George Wells,"May 3, 2006 "
1047.txt,The New Machiavelli,Herbert George Wells,"September, 1997"
1053.txt,Within the Tides,Joseph Conrad,"January 5, 2011  "
1058-0.txt,The Mirror of the Sea,Joseph Conrad,"April 7, 2013  "
1069.txt,"Nana, The Miller's Daughter, Captain Burle, Death of Olivier Becaille",Emile Zola,"May 3, 2006 "
1078.txt,The Scouts of the Valley,Joseph A. Altsheler,"October, 1997"
1079.txt,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,"October, 1997"
1083-0.txt,The Arrow of Gold,Joseph Conrad,"August 3, 2009  "
1085.txt,The Life of John Sterling,Thomas Carlyle,"October, 1997"
110-8.txt,Tess of the d'Urbervilles,Thomas Hardy,"February, 1994  "
113.txt,The Secret Garden,Frances Hodgson Burnett,"May 15, 2008 "
115.txt,United States Census Figures back to 1630,U.S. Census of Population and Housing,"June 5, 2008 "
12.txt,Through the Looking-Glass,"Charles Dodgson, AKA Lewis Carroll","February, 1991"
1245.txt,Night and Day,Virginia Woolf,"March, 1998"
1250.txt,Anthem,Ayn Rand,"March, 1998 "
1251.txt,"Le Morte D'Arthur, Volume I (of II)",Thomas Malory,"March, 1998  "
1252.txt,"Le Morte D'Arthur, Volume II (of II)",Thomas Malory,"March, 1998  "
1257-8.txt,The Three Musketeers,"Alexandre Dumas, Pere","March 01, 1998 "
1257.txt,The Three Musketeers,"Alexandre Dumas, Pere","March 01, 1998 "
1259-0.txt,Twenty Years After,"Alexandre Dumas, Pere","May 11, 2003 "
1268.txt,The Mysterious Island,Jules Verne,"April, 1998"
1279.txt,Poems And Songs Of Robert Burns,Robert Burns,"January 25, 2005 "
128.txt,The Arabian Nights Entertainments,Andrew Lang.,"June 9, 2008 "
1291.txt,Herodias,Gustave Flaubert,"February 11, 2006 "
1320-0.txt,Criminal Psychology,Hans Gross,"November 4, 2014 "
1323.txt,The Conquest Of Peru,William H. Prescott,"May, 1998"
1333.txt,Robert F. Murray,Robert F. Murray,"July 4, 2007  "
1353-8.txt,Off on a Comet,Jules Verne,"June, 1998"
1399-0.txt,Anna Karenina,Leo Tolstoy,"July 01, 1998 "
14.txt,The 1990 CIA World Factbook,United States.  Central Intelligence Agency,Unknown
1400-8.txt,Great Expectations,Charles Dickens,"July, 1998"
1404-8.txt,The Federalist Papers,"Alexander Hamilton, John Jay, and James Madison","July, 1998  "
1440.txt,Woman and Labour,Olive Schreiner,"August, 1998"
1441.txt,The Story of an African Farm,(AKA Ralph Iron) Olive Schreiner,"August, 1998"
1443.txt,Two Poets,Honore de Balzac,"September, 1998  "
1454.txt,Maitre Cornelius,Honore de Balzac,"September, 1998  "
1457.txt,Mistress Wilding,Rafael Sabatini,"September, 1998 "
1468.txt,The History of England from the Accession of James II.,Thomas Babington Macaulay,"September, 1998"
1480.txt,Tom Brown's Schooldays,Thomas Hughes,"February 15, 2006 "
1497.txt,The Republic,Plato,"October, 1998"
1557.txt,Men of Iron,Howard Pyle,"February 15, 2006 "
1582.txt,"The Bible, Douay-Rheims, New Testament",Anonymous,"December, 1998"
16.txt,Peter Pan,James M. Barrie,"July, 1991"
1609.txt,"The Bible, Douay-Rheims, Old Testament--Part I",Anonymous,"January, 1999"
1640.txt,Lilith,George MacDonald,"February, 1999"
1641.txt,The Lesser Bourgeoisie,Honore de Balzac,"February, 1999  "
1642.txt,Euthyphro,Plato,"February, 1999"
1646-8.txt,Roads of Destiny,O. Henry,"February, 1997  "
1654.txt,An Unsocial Socialist,George Bernard Shaw,"February 21, 2006 "
1655.txt,The God of His Fathers,Jack London,"March 18, 2005  "
1662-8.txt,The 1997 CIA World Factbook,United States. Central Intelligence Agency.,"February 21, 2010 "
1669.txt,The Human Drift,Jack London,"April 27, 2005  "
1684.txt,The Egoist,George Meredith,"March, 1999"
1696.txt,The Club of Queer Trades,G. K. Chesterton,"April, 1999"
17.txt,The Book Of Mormon,Anonymous,"March 8, 1992"
1708.txt,"A History of Science, Volume 4(of 5)",Henry Smith Williams,"April, 1999  "
1720.txt,The Man Who Knew Too Much,G.K. Chesterton,"June 12, 2004 "
1735.txt,Sophist,Plato,"May, 1999"
1849.txt,The Yellow Crayon,E. Phillips Oppenheim,"August, 1999"
1858.txt,Plain Tales from the Hills,Rudyard Kipling,"August, 1999"
1860.txt,Westward Ho!,Charles Kingsley,"May 13, 2006 "
1861.txt,An Old Town By The Sea,Thomas Bailey Aldrich,"March 21, 2006 "
1866.txt,"North America, Volume II (of 2)",Anthony Trollope,"December 29, 1998  "
1875.txt,Painted Windows,Elia W. Peattie,"September, 1999"
1899.txt,The Village Rector,Honore de Balzac,"September, 1999  "
1905.txt,The Governess,Sarah Fielding,"September, 1999"
1906.txt,Erewhon,Samuel Butler,"March 20, 2005  "
1907.txt,Rowdy of the Cross L,"B.M. Sinclair, AKA B.M. Bower","September, 1999"
1939.txt,A Gentleman of France,Stanley Weyman,"October, 1999"
2014.txt,The Lodger,Marie Belloc Lowndes,"March 13, 2005 "
2015.txt,A Miscellany of Men,G. K. Chesterton,"November 5, 2008 "
2016-8.txt,The 1998 CIA World Factbook,United States.  Central Intelligence Agency.,"February 21, 2010 "
2016.txt,The 1998 CIA World Factbook,United States.  Central Intelligence Agency.,"December, 1999"
2017.txt,The Dhammapada,Unknown,"December, 1999"
202.txt,My Bondage and My Freedom,Frederick Douglass,"July 1, 2008 "
2044-8.txt,The Education of Henry Adams,Henry Adams,"January, 2000"
2049.txt,"Liber Amoris, or, The New Pygmalion",William Hazlitt,"January, 2000"
2063.txt,The Trail of the White Mule,B. M. Bower,"February, 2000"
2075-0.txt,Crotchet Castle,Thomas Love Peacock,"September 26, 2014  "
2088.txt,"The Life and Letters of Charles Darwin, Volume II (of II)",Charles Darwin,February 2000 
2121-8.txt,"History of Friedrich II. of Prussia, Vol. XXI. (of XXI.)",Thomas Carlyle,"March, 2000"
2158.txt,The Prime Minister,Anthony Trollope,"August 15, 1999  "
2160.txt,The Expedition of Humphry Clinker,Tobias Smollett,"April, 2000 "
2162.txt,Anarchism and Other Essays,Emma Goldman,"April, 2000"
2166-8.txt,King Solomon's Mines,H. Rider Haggard,"October 11, 2005"
2170.txt,"The Miscellaneous Writings and Speeches of Lord Macaulay, Vol. 4 (of 4)",Thomas Babington Macaulay,"May, 2000"
2175.txt,You Never Can Tell,George Bernard Shaw,"May, 2000  "
2361.txt,Why go to College? an Address,Alice Freeman Palmer,"October, 2000"
2370.txt,Sir Gibbie,George MacDonald,"October, 2000"
2400.txt,Vikram and the Vampire,Richard F. Burton,"November, 2000 "
2413.txt,Madame Bovary,Gustave Flaubert,"February 25, 2006 "
2415.txt,The Mutiny of the Elsinore,Jack London,"July 10, 2007  "
2428.txt,Essay on Man,Alexander Pope,"August 20, 2007  "
2438.txt,"Daphne, An Autumn Pastoral",Margaret Pollock Sherwood,"December, 2000"
2439.txt,The History of England from the Accession of James II.,Thomas Babington Macaulay,"December, 2000"
247-0.txt,Webster's Unabridged Dictionary,Noah Webster,April 1995
2530-8.txt,"The Malay Archipelago, Volume I. (of II.)",Alfred Russell Wallace,"February, 2001"
2567.txt,A Plea for Captain John Brown,Henry David Thoreau,"March, 2001"
2573.txt,The Caged Lion,Charlotte M. Yonge,"May 11, 2005  "
2577-8.txt,"The Origins of Contemporary France, Volume 1 (of 6)",Hippolyte A. Taine,"August 29, 2017"
2598.txt,Urban Sketches,Bret Harte,"May 21, 2006 "
261.txt,A Dome of Many-Coloured Glass,Amy Lowell,"July 3, 2008 "
2610.txt,Notre-Dame de Paris,Victor Hugo,"April, 2001  "
2612.txt,The History of England from the Accession of James II.,Thomas Babington Macaulay,"May, 2001"
2613-8.txt,The History of England from the Accession of James II.,Thomas Babington Macaulay,"May, 2001"
2613.txt,The History of England from the Accession of James II.,Thomas Babington Macaulay,"May, 2001"
2616.txt,"The Memoirs of General W. T. Sherman, Vol. I.",William T. Sherman,"August 16, 2006 "
262.txt,The Collected Poems of Rupert Brooke,Rupert Brooke,"May, 1995"
263.txt,Trees and Other Poems,Joyce Kilmer,"May, 1995"
266.txt,Confessio Amantis,John Gower,"July 3, 2008 "
270.txt,Dream Days,Kenneth Grahame,"July 3, 2008 "
2705.txt,Sally Dows and Other Stories,Bret Harte,"May 25, 2006 "
2706-0.txt,The Bravo of Venice,Heinrich Zschokke,"September 27, 2014  "
2735-8.txt,The Golden Dog,William Kirby,"July, 2001"
2743-0.txt,Massacres of the South,"Alexandre Dumas, Pere","September 22, 2004 "
2752-8.txt,Martin Guerre,"Alexandre Dumas, Pere","August 15, 2006 "
2759.txt,The Man in the Iron Mask,"Alexandre Dumas, Pere","August, 2001"
2760.txt,"Celebrated Crimes, Complete","Alexandre Dumas, Pere","September 22, 2004 "
2765.txt,The Lady From The Sea,Henrik Ibsen,"July, 2001"
