title,filename,title.1,author,release year,genre,pos score,neg score,neu score,comp score,amt pos,amt neg
Jonah,3678.txt,Jonah,Louis Stone,"January, 2003",Poetry,0.06375241193627998,0.06402815795378049,0.6702889836212736,0.0015903746914965172,2058,2017
The Wind in the Willows,289.txt,The Wind in the Willows,Kenneth Grahame,"July, 1995",Children's literature,0.07562183055040203,0.04971072974644397,0.708465522572665,0.05042541743970327,1684,1172
Akbar,40155-8.txt,Akbar,P. A. S. van Limburg-Brouwer,"July 7, 2012 ",Syair,0.08892685243825195,0.04764091196960104,0.7014123918091605,0.07823336499894454,2988,1652
Erewhon,1906.txt,Erewhon,Samuel Butler,"March 20, 2005  ",Satire,0.07500636545182235,0.061586744882675876,0.7509513230154762,0.025885821268097933,2506,1952
Night and Day,1245.txt,Night and Day,Virginia Woolf,"March, 1998",Romance novel,0.07013536155202815,0.04890740740740709,0.7112051366843,0.04394802138447935,4822,3088
She and Allan,5745.txt,She and Allan,H. Rider Haggard,"April 22, 2006 ",Fantasy novel,0.06760816647035726,0.0570098154691793,0.693446564585785,0.020357016097369486,3234,2652
The Amateur Cracksman,706.txt,The Amateur Cracksman,E. W. Hornung,"November, 1996",Crime fiction,0.05957592904113782,0.045971555283682436,0.6630709588622123,0.02651660804404346,1363,1072
Anne of Geierstein,44247-8.txt,Anne of Geierstein,Walter Scott,"November 21, 2013 ",Historical novel,0.08069149812391317,0.05444202434336938,0.7160618651047833,0.048408575089228516,3268,2205
A Tramp Abroad,5786.txt,A Tramp Abroad,Mark Twain (Samuel Clemens),March 1994 ,Travel literature,0.062377514367816016,0.037464080459770135,0.7202015086206907,0.047014727011494194,642,387
Captives of the Flame,41905.txt,Captives of the Flame,Samuel R. Delany,"January 24, 2013 ",Science fantasy,0.037853993216157865,0.03733950046253472,0.6634753314831946,0.0014398396546407585,850,776
Madame de Mauves,7813.txt,Madame de Mauves,Henry James,"April, 2005 ",Novella,0.09859526662672254,0.055953565008987474,0.7328079688436189,0.08460377471539843,1301,744
Five Weeks in a Balloon,3526.txt,Five Weeks in a Balloon,Jules Verne,"November, 2002 ",Adventure novel,0.051753405661146924,0.041391793784158463,0.6609136144873131,0.018097038910188542,2156,1643
Tara,45430.txt,Tara,Philip Meadows Taylor,"April 18, 2014 ",Prose poetry,0.07200074701195222,0.05500042686397225,0.6962424587364825,0.031075533579965463,6587,5509
The Mysteries of Udolpho,3268.txt,The Mysteries of Udolpho,Ann Radcliffe,"June, 2002",Gothic novel,0.07304943933054328,0.06880174058577364,0.7345359330543904,0.009785255230125686,7454,7002
Clocks,855.txt,Clocks,Jerome K. Jerome,"March, 1997",Drama,0.07020731707317081,0.04180000000000004,0.6733573170731706,0.05526341463414633,218,125
A Child's History of England,699.txt,A Child's History of England,Charles Dickens,"May 6, 2007  ",History,0.08157213696977822,0.07762882798364895,0.7486621322790272,0.0075491724184144435,4795,4209
Green Eyes,45557-8.txt,Green Eyes,Roy J. Snell,"May 1, 2014 ",Young-Adult Fiction,0.052122890744844004,0.04343838418271687,0.6068413158343273,0.02303238452360655,972,760
Botticelli,39942-8.txt,Botticelli,Henry Bryan Binns,"June 7, 2012 ",Mystery (fiction),0.06532828630419818,0.02621059876118377,0.7143785271851346,0.07237123193392977,317,120
